eventReceivedTimestamp,dedupedEventCount,failedEventCount,deliveredNestedEventCount
1547380800000,52059319,1259064,50279799
1547384400000,57090527,1326244,55243614
1547388000000,65500636,1555372,63323469
1547391600000,76779620,1747668,74295028
1547395200000,87254578,1896386,84480053
1547398800000,95521089,2058615,92469088
1547402400000,99085659,2071879,95976222
1547406000000,101594984,2154021,98342426
1547409600000,102198245,2171887,98923685
1547413200000,100536349,2075135,97389470
1547416800000,96823786,2076562,93700390
1547420400000,93812344,1137791,90752113
1547424000000,88809457,989036,85861799
1547427600000,87263014,987383,84410159
1547431200000,81964789,966835,79225955
1547434800000,75618794,886070,73089687
1547438400000,69218927,828682,66933469
1547442000000,63876188,734816,61808993
1547445600000,61205811,656158,59276053
1547449200000,55974796,582963,54271216
1547452800000,51990809,550869,50379867
1547456400000,46128948,533735,44618739
1547460000000,47790327,561220,46185804
1547463600000,59245279,667490,57333948
1547467200000,81539970,836504,78934826
1547470800000,94384170,960829,91364794
1547474400000,98353385,1018531,95246350
1547478000000,107052487,1040816,103799389
1547481600000,112025329,1094261,108608420
1547485200000,113696987,1069739,110295677
1547488800000,112494266,1006393,108397581
1547492400000,114975327,981706,107841735
1547496000000,116230854,993192,107939353
1547499600000,116867633,791276,83185905
1547503200000,119660216
1547506800000,114940332
1547510400000,101369293
1547514000000,1356461
1547517600000,1240256
1547521200000,929518
1548529200000,117870385,2068882,114261977
1548532800000,115989113,2083326,112383225
1548536400000,113946064,2109806,110347877
1548540000000,111884450,2088283,108344219
1548543600000,109181052,2072448,105719932
1548547200000,103710294,2067733,100334886
1548550800000,97095003,1960721,93887981
1548554400000,91575368,1917204,88507595
1548558000000,85538262,1782468,82676190
1548561600000,78155652,1722969,75423492
1548565200000,69152601,1485509,66784073
1548568800000,60802602,1318291,58722646
1548572400000,54251896,1246950,52332802
1548576000000,50383984,1141333,48606429
1548579600000,48958982,1098664,47254679
1548583200000,49031057,1069957,47341345
1548586800000,50649391,1076793,48935279
1548590400000,53454887,1092883,51698393
1548594000000,58894147,1209427,56926703
1548597600000,68088293,1420953,65783530
1548601200000,79527982,1633924,76857781
1548604800000,90692661,1802285,87692742
1548608400000,99936704,984723,96701108
1548612000000,105864864,870927,102353084
1548615600000,108010378,892793,104333906
1548619200000,106997436,909973,103290167
1548622800000,105076938,865317,101468743
1548626400000,104904606,821243,101298791
1548630000000,102686213,855946,99096798
1548633600000,96047289,792130,92515137
1548637200000,89400344,732339,85959372
1548640800000,83691561,732123,80200696
1548644400000,77424645,691666,74071509
1548648000000,69812355,641808,66600025
1548651600000,63996356,545721,61086396
1548655200000,60749523,493334,57934627
1548658800000,55621278,439481,53093605
1548662400000,52471347,420011,50077526
1548666000000,47704633,375048,45468693
1548669600000,49806257,416724,47435858
1548673200000,61445551,497365,58444392
1548676800000,84392725,674564,80186083
1548680400000,95530001,788662,90774465
1548684000000,99510738,784829,94358411
1548687600000,108815281,812228,101674268
1548691200000,114025798,821924,104595498
1548694800000,115794430,815105,104643847
1548698400000,114335919,270760,45885999
1548702000000,116248912
1548705600000,12208008
1548709200000,1394518
1541030400000,93197534,1584103,90260897
1541034000000,83913652,1487300,81185617
1541037600000,72570554,1292489,70206010
1541041200000,63249076,1153943,61172833
1541044800000,55482790,1021284,53679934
1541048400000,50192644,867940,48640779
1541052000000,45916543,760362,44559116
1541055600000,44677896,744028,43373425
1541059200000,45902945,726319,44613188
1541062800000,47756767,857649,46314727
1541066400000,58015897,948619,56264526
1541070000000,78793896,1241048,76364064
1541073600000,88345447,1368284,85670223
1541077200000,91161143,1387642,88396617
1541080800000,97913725,1493196,94928186
1541084400000,102312620,1540579,99206307
1541088000000,104396511,1536851,101246990
1541091600000,106494212,1579198,103283555
1541095200000,108369003,1580783,105094373
1541098800000,110181761,1719791,106691705
1541102400000,111470290,1772540,107942478
1541106000000,114566375,1809682,110990620
1541109600000,112651186,1711483,109223170
1541113200000,105546851,750542,102226194
1541116800000,96369986,566128,93356468
1541120400000,87631679,573255,84733932
1541124000000,77587745,474108,75034802
1541127600000,68094356,399966,65901127
1541131200000,70273554,382438,68152895
1541134800000,59879000,289455,58107880
1541138400000,53396293,278203,51783828
1541142000000,50911412,252184,49442115
1541145600000,51283034,231528,49836419
1541149200000,52856289,231286,51346926
1541152800000,64957484,291748,63040318
1541156400000,86293900,406752,83648486
1541160000000,97582655,512100,94498356
1541163600000,101702678,530566,98558845
1541167200000,110689403,586319,107268404
1541170800000,116422907,615925,112829697
1541174400000,118970753,605074,115386824
1541178000000,120065521,618956,116379835
1541181600000,122359653,657755,118396022
1541185200000,123019895,686724,118961376
1541188800000,123350876,710401,118633933
1541192400000,123797176,696802,115490706
1541196000000,119846995,667870,110622977
1541199600000,110242308,254993,74960230
1541203200000,101566605
1541206800000,94006817
1541210400000,52220158
1541214000000,282893
1549670400000,114849413,2132019,111483148
1549674000000,105984458,2051538,102800079
1549677600000,99232562,1958451,96195561
1549681200000,91630526,1826672,88812252
1549684800000,81914821,1664090,79355738
1549688400000,71428909,1490814,69163619
1549692000000,62541061,1320248,60542183
1549695600000,57123063,1174811,55327502
1549699200000,55372696,1181713,53574212
1549702800000,54707173,1172776,52906822
1549706400000,55371353,1199790,53499012
1549710000000,58319831,1232740,56417458
1549713600000,63879920,1339597,61796121
1549717200000,72895156,1449532,70620288
1549720800000,83436819,1657528,80819557
1549724400000,95322651,1839802,92390180
1549728000000,106860041,2057529,103555898
1549731600000,115880709,2204056,112333619
1549735200000,119411194,2206879,115824203
1549738800000,118852436,2228024,115253238
1549742400000,116585752,2027915,113218059
1549746000000,114504671,2054938,111112143
1549749600000,112381879,1912902,109142809
1549753200000,109388337,935916,106224460
1549756800000,103822711,900405,100756526
1549760400000,97446863,845887,94503189
1549764000000,92615940,871685,89742047
1549767600000,86990136,785731,84259293
1549771200000,78759011,688302,76303282
1549774800000,70114299,670631,67893668
1549778400000,61693278,593410,59707792
1549782000000,55362693,540874,53520174
1549785600000,52207936,501467,50471814
1549789200000,50487372,482876,48739253
1549792800000,50575312,477501,48871622
1549796400000,51908985,488724,50161857
1549800000000,54721117,539781,52835385
1549803600000,60464785,561463,58437149
1549807200000,69920915,624913,67642224
1549810800000,81380556,761831,78759141
1549814400000,91417021,825965,88545978
1549818000000,100477099,883629,97407059
1549821600000,106894293,903451,103618725
1549825200000,109003815,914921,105439574
1549828800000,108562225,911130,102238350
1549832400000,106244232,894329,98806154
1549836000000,102548945,854698,94051541
1549839600000,99419689,128740,13448737
1549843200000,57913777
1549846800000,1231998
1535018400000,54531123,974646,52962244
1535022000000,70274154,1264860,68202192
1535025600000,81288782,1420160,78933302
1535029200000,84598446,1512693,82093016
1535032800000,91850305,1601114,89127374
1535036400000,96704914,1634844,93905825
1535040000000,99311727,1699163,96404006
1535043600000,98379188,1695268,95459658
1535047200000,98413686,1655660,95504255
1535050800000,100609404,1759908,97566806
1535054400000,102301681,1785003,99221863
1535058000000,104650271,1873100,101476528
1535061600000,102482676,1832570,99415997
1535065200000,95292002,1761687,92374600
1535068800000,89594692,1719413,86777632
1535072400000,82312226,1558138,79712932
1535076000000,74743319,1362712,72426471
1535079600000,66361290,1304935,64234749
1535083200000,60469912,1087689,58647034
1535086800000,55715135,1029044,54020629
1535090400000,50620475,905009,49154064
1535094000000,47549967,817546,46217250
1535097600000,45573110,851674,44245851
1535101200000,48916116,320994,47483539
1535104800000,58471448,333543,56757490
1535108400000,74390941,416849,72227799
1535112000000,86012808,552858,83495450
1535115600000,90229185,594196,87551302
1535119200000,98132563,592509,95284743
1535122800000,103029897,613928,99983333
1535126400000,105247702,663494,102179007
1535130000000,104753905,680201,101629174
1535133600000,104727910,695020,101557080
1535137200000,106828549,683656,103620868
1535140800000,108726490,753540,105195156
1535144400000,109262842,783626,105628874
1535148000000,105257488,715983,101765486
1535151600000,97796096,710101,94373438
1535155200000,91846188,637983,88478681
1535158800000,86583827,620204,83336131
1535162400000,81326625,575700,78140952
1535166000000,73612540,508616,70567278
1535169600000,64147204,430318,60721185
1535173200000,55784475,381570,52675990
1535176800000,50663375,318180,47650083
1535180400000,48232696,282849,43910581
1535184000000,47331134,262736,42926303
1535187600000,47717624,199174,38522032
1535191200000,15059441
1535194800000,718583
1535688000000,2,1,1
1535727600000,2,2
1542837600000,6,3,3
1546840800000,1,1
1545055200000,95213174,1529707,92721796
1545058800000,103450743,1633672,100754340
1545062400000,108994113,1687313,106193356
1545066000000,110963157,1723322,108100631
1545069600000,110434069,1684261,107635111
1545073200000,114059284,1717686,111147149
1545076800000,115755009,1808979,112730996
1545080400000,116819480,1873146,113737367
1545084000000,119259965,1873317,116211402
1545087600000,114315380,1805836,111410569
1545091200000,102391380,1651518,99747300
1545094800000,93332671,1533749,90868818
1545098400000,85754798,1471735,83407092
1545102000000,78321602,1330941,76202348
1545105600000,70307662,1215489,68401940
1545109200000,64346718,1126151,62613281
1545112800000,61449802,1013528,59854211
1545116400000,56935296,925821,55497079
1545120000000,53252588,909065,51884334
1545123600000,48701774,885126,47424598
1545127200000,50058645,919998,48731209
1545130800000,60718266,1018030,59161635
1545134400000,82492330,637055,80249932
1545138000000,93685123,562890,91167824
1545141600000,97024507,582377,94472807
1545145200000,105475888,634931,102652621
1545148800000,110329161,641221,107473727
1545152400000,112131918,646693,109283268
1545156000000,111231110,683567,108250063
1545159600000,114040896,709226,110827514
1545163200000,116337933,723215,113030855
1545166800000,117776097,753342,114394578
1545170400000,121078631,730331,117772602
